airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Air India,2019-03-03,Banglore,New Delhi,06:10:00,08:55:00,165,0.0,No Info,7591
Multiple Carriers,2019-03-06,Delhi,Cochin,04:00:00,18:50:00,890,1.0,No Info,13399
Spicejet,2019-05-06,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No check-in baggage included,3859
Multiple Carriers,2019-06-01,Delhi,Cochin,11:30:00,19:15:00,465,1.0,No Info,16108
Indigo,2019-04-18,Banglore,Delhi,20:00:00,22:50:00,170,0.0,No Info,4823
Air Asia,2019-03-18,Kolkata,Banglore,19:35:00,22:05:00,150,0.0,No Info,4384
Vistara,2019-06-18,Delhi,Cochin,06:00:00,09:10:00,190,0.0,No Info,6216
Jet Airways,2019-06-12,Kolkata,Banglore,16:30:00,12:00:00,1170,1.0,No Info,13044
Indigo,2019-06-12,Mumbai,Hyderabad,12:00:00,13:30:00,90,0.0,No Info,2754
Indigo,2019-06-15,Banglore,Delhi,21:15:00,00:15:00,180,0.0,No Info,3943
Jet Airways,2019-06-12,Delhi,Cochin,20:55:00,19:00:00,1325,1.0,In-flight meal not included,10262
Jet Airways,2019-06-03,Delhi,Cochin,09:40:00,12:35:00,1615,2.0,In-flight meal not included,10368
Jet Airways,2019-04-03,Banglore,Delhi,11:10:00,14:05:00,175,0.0,In-flight meal not included,4544
Jet Airways,2019-03-18,Banglore,New Delhi,08:55:00,18:25:00,570,1.0,No Info,12284
Jet Airways,2019-06-03,Delhi,Cochin,19:45:00,12:35:00,1010,1.0,No Info,14714
Air India,2019-05-15,Delhi,Cochin,10:55:00,07:40:00,1245,2.0,No Info,12803
Indigo,2019-05-01,Chennai,Kolkata,07:55:00,10:15:00,140,0.0,No Info,3850
Indigo,2019-03-27,Delhi,Cochin,07:30:00,15:30:00,480,1.0,No Info,8574
Air India,2019-04-27,Banglore,Delhi,21:05:00,23:55:00,170,0.0,No Info,5228
Air India,2019-06-09,Delhi,Cochin,21:00:00,07:40:00,640,1.0,No Info,8372
Indigo,2019-05-15,Kolkata,Banglore,07:10:00,12:40:00,330,1.0,No Info,4864
Jet Airways,2019-06-12,Delhi,Cochin,22:50:00,12:35:00,825,1.0,In-flight meal not included,10262
Indigo,2019-03-06,Delhi,Cochin,04:55:00,16:10:00,675,1.0,No Info,6171
Jet Airways,2019-03-06,Banglore,New Delhi,08:55:00,15:15:00,380,1.0,No Info,19225
Multiple Carriers,2019-06-06,Delhi,Cochin,07:05:00,19:15:00,730,1.0,No Info,14848
Multiple Carriers,2019-03-27,Delhi,Cochin,17:45:00,01:35:00,470,1.0,No Info,7845
Jet Airways,2019-05-18,Kolkata,Banglore,17:00:00,09:45:00,1005,1.0,No Info,14151
Air India,2019-04-24,Banglore,Delhi,13:20:00,16:10:00,170,0.0,No Info,6121
Air India,2019-03-21,Delhi,Cochin,06:50:00,19:15:00,2185,2.0,No Info,10756
Jet Airways,2019-05-21,Kolkata,Banglore,08:25:00,08:15:00,1430,1.0,No Info,13941
Goair,2019-04-12,Banglore,Delhi,11:40:00,14:30:00,170,0.0,No Info,4937
Jet Airways,2019-06-27,Delhi,Cochin,21:25:00,12:35:00,910,2.0,In-flight meal not included,11507
Spicejet,2019-04-15,Delhi,Cochin,06:05:00,11:20:00,315,1.0,No Info,5583
Jet Airways,2019-03-15,Banglore,New Delhi,08:55:00,18:25:00,570,1.0,In-flight meal not included,9134
Vistara,2019-05-18,Kolkata,Banglore,17:00:00,20:20:00,1640,1.0,No Info,9555
Jet Airways,2019-04-03,Banglore,Delhi,07:10:00,10:10:00,180,0.0,In-flight meal not included,4544
Indigo,2019-04-09,Delhi,Cochin,16:00:00,01:30:00,570,1.0,No Info,6573
Air India,2019-06-12,Delhi,Cochin,09:45:00,08:15:00,1350,1.0,No Info,8991
Spicejet,2019-05-03,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No check-in baggage included,3841
Multiple Carriers,2019-03-06,Delhi,Cochin,09:00:00,15:30:00,390,1.0,No Info,15078
Air India,2019-05-01,Banglore,Delhi,10:00:00,12:45:00,165,0.0,No Info,6121
Air India,2019-05-09,Delhi,Cochin,20:40:00,09:25:00,765,1.0,No Info,7480
Jet Airways,2019-04-27,Banglore,Delhi,19:50:00,22:50:00,180,0.0,In-flight meal not included,4544
Jet Airways,2019-05-21,Delhi,Cochin,17:30:00,04:25:00,655,1.0,In-flight meal not included,12898
Jet Airways,2019-03-24,Kolkata,Banglore,13:55:00,04:45:00,890,1.0,No Info,13759
Jet Airways,2019-05-09,Delhi,Cochin,05:30:00,04:25:00,1375,2.0,No Info,15129
Air India,2019-06-03,Delhi,Cochin,18:05:00,21:10:00,185,0.0,No Info,6934
Vistara,2019-05-21,Kolkata,Banglore,07:10:00,20:20:00,790,1.0,No Info,9345
Jet Airways,2019-06-09,Kolkata,Banglore,20:00:00,16:20:00,1220,1.0,In-flight meal not included,10844
Indigo,2019-03-21,Delhi,Cochin,04:45:00,21:00:00,975,1.0,No Info,6314
Jet Airways,2019-05-09,Kolkata,Banglore,06:30:00,16:20:00,590,1.0,No Info,13941
Air India,2019-03-06,Mumbai,Hyderabad,09:15:00,09:15:00,1440,1.0,No Info,9535
Multiple Carriers,2019-06-24,Delhi,Cochin,15:15:00,01:30:00,615,1.0,In-flight meal not included,5797
Jet Airways,2019-05-12,Kolkata,Banglore,16:30:00,22:35:00,365,1.0,In-flight meal not included,10844
Jet Airways,2019-06-27,Delhi,Cochin,11:30:00,19:00:00,450,1.0,In-flight meal not included,10262
Indigo,2019-03-24,Banglore,New Delhi,10:10:00,13:00:00,170,0.0,No Info,4777
Air India,2019-03-09,Delhi,Cochin,07:05:00,19:15:00,2170,2.0,No Info,11762
Indigo,2019-05-15,Delhi,Cochin,23:30:00,04:35:00,305,1.0,No Info,10123
Indigo,2019-04-03,Mumbai,Hyderabad,19:05:00,20:35:00,90,0.0,No Info,2754
Air India,2019-05-21,Delhi,Cochin,17:40:00,08:15:00,875,1.0,No Info,8151
Indigo,2019-05-21,Banglore,Delhi,07:10:00,10:05:00,175,0.0,No Info,4823
Jet Airways,2019-06-06,Kolkata,Banglore,16:30:00,22:35:00,365,1.0,In-flight meal not included,10844
Indigo,2019-04-03,Kolkata,Banglore,04:40:00,07:15:00,155,0.0,No Info,4174
Jet Airways,2019-05-21,Kolkata,Banglore,21:10:00,12:00:00,890,1.0,In-flight meal not included,10844
Indigo,2019-03-01,Kolkata,Banglore,14:20:00,16:55:00,155,0.0,No Info,6565
Jet Airways,2019-05-01,Banglore,Delhi,06:00:00,08:45:00,165,0.0,In-flight meal not included,4030
Indigo,2019-04-21,Delhi,Cochin,02:00:00,07:45:00,345,1.0,No Info,6258
Multiple Carriers,2019-06-06,Delhi,Cochin,06:00:00,21:00:00,900,1.0,No Info,7005
Multiple Carriers,2019-06-03,Delhi,Cochin,18:15:00,01:30:00,435,1.0,No Info,13377
Vistara,2019-05-21,Kolkata,Banglore,20:20:00,18:50:00,1350,1.0,No Info,9345
Air India,2019-05-06,Kolkata,Banglore,09:25:00,18:30:00,545,1.0,No Info,8891
Jet Airways,2019-05-09,Banglore,Delhi,15:15:00,18:10:00,175,0.0,No Info,7229
Indigo,2019-04-18,Banglore,Delhi,08:30:00,11:20:00,170,0.0,No Info,5740
Jet Airways,2019-05-09,Delhi,Cochin,02:15:00,12:35:00,620,1.0,In-flight meal not included,12373
Air India,2019-05-24,Delhi,Cochin,23:00:00,19:15:00,1215,1.0,No Info,8582
Jet Airways,2019-03-15,Banglore,New Delhi,08:55:00,16:10:00,435,1.0,In-flight meal not included,9134
Jet Airways,2019-06-27,Delhi,Cochin,09:00:00,19:00:00,600,1.0,No Info,14714
Air India,2019-05-09,Delhi,Cochin,13:15:00,09:25:00,1210,2.0,No Info,9417
Multiple Carriers,2019-03-01,Delhi,Cochin,14:35:00,22:20:00,465,1.0,No Info,14762
Air India,2019-03-12,Banglore,New Delhi,11:05:00,22:10:00,665,2.0,No Info,11948
Jet Airways,2019-06-09,Kolkata,Banglore,09:35:00,21:05:00,690,1.0,In-flight meal not included,13994
Air Asia,2019-06-06,Kolkata,Banglore,22:40:00,10:40:00,720,1.0,No Info,6810
Air India,2019-05-18,Delhi,Cochin,17:15:00,19:15:00,1560,2.0,No Info,12409
Spicejet,2019-03-24,Kolkata,Banglore,17:15:00,19:45:00,150,0.0,No Info,6461
Indigo,2019-04-09,Kolkata,Banglore,20:20:00,22:55:00,155,0.0,No Info,4488
Indigo,2019-06-12,Banglore,Delhi,13:00:00,15:50:00,170,0.0,No Info,3943
Vistara,2019-05-12,Delhi,Cochin,14:40:00,17:50:00,190,0.0,No Info,6216
Jet Airways,2019-06-03,Delhi,Cochin,09:40:00,12:35:00,1615,2.0,No Info,13014
Multiple Carriers,2019-06-12,Delhi,Cochin,11:25:00,19:00:00,455,1.0,No Info,10877
Spicejet,2019-03-18,Mumbai,Hyderabad,05:45:00,07:05:00,80,0.0,No Info,2437
Jet Airways,2019-06-09,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,No Info,5678
Jet Airways,2019-06-06,Mumbai,Hyderabad,02:55:00,04:20:00,85,0.0,In-flight meal not included,4050
Jet Airways,2019-03-24,Kolkata,Banglore,18:55:00,18:10:00,1395,1.0,In-flight meal not included,11134
Indigo,2019-05-12,Kolkata,Banglore,19:20:00,23:45:00,265,1.0,No Info,4205
Indigo,2019-06-12,Delhi,Cochin,04:55:00,21:00:00,965,1.0,No Info,5894
Multiple Carriers,2019-03-27,Delhi,Cochin,08:25:00,19:15:00,650,1.0,No Info,8601
Indigo,2019-03-03,Delhi,Cochin,06:40:00,12:00:00,320,1.0,No Info,9304
Air India,2019-06-09,Kolkata,Banglore,16:50:00,05:35:00,765,2.0,No Info,11642
Vistara,2019-03-09,Banglore,New Delhi,16:10:00,18:50:00,160,0.0,No Info,7923
Spicejet,2019-03-06,Delhi,Cochin,06:10:00,11:20:00,310,1.0,No Info,9748
Jet Airways,2019-03-27,Delhi,Cochin,06:20:00,19:45:00,2245,2.0,No Info,12273
Jet Airways,2019-05-09,Kolkata,Banglore,09:35:00,09:45:00,1450,1.0,No Info,12121
Spicejet,2019-05-27,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No Info,3873
Indigo,2019-03-21,Kolkata,Banglore,20:25:00,23:05:00,160,0.0,No Info,4462
Indigo,2019-06-27,Delhi,Cochin,11:25:00,21:00:00,575,1.0,No Info,5894
Multiple Carriers,2019-05-27,Delhi,Cochin,14:00:00,01:30:00,690,1.0,In-flight meal not included,6943
Goair,2019-05-24,Kolkata,Banglore,16:40:00,00:15:00,455,1.0,No Info,8855
Indigo,2019-03-27,Delhi,Cochin,14:30:00,17:35:00,185,0.0,No Info,4729
Air India,2019-05-21,Delhi,Cochin,13:20:00,07:40:00,1100,2.0,No Info,13538
Indigo,2019-06-03,Kolkata,Banglore,11:30:00,14:05:00,155,0.0,No Info,4804
Indigo,2019-06-21,Banglore,Delhi,21:15:00,00:15:00,180,0.0,No Info,3943
Jet Airways,2019-06-01,Delhi,Cochin,18:25:00,04:25:00,600,2.0,No Info,14237
Jet Airways,2019-05-12,Kolkata,Banglore,16:30:00,04:40:00,730,1.0,No Info,14388
Air India,2019-05-12,Kolkata,Banglore,20:45:00,23:20:00,155,0.0,No Info,4880
Air India,2019-05-01,Kolkata,Banglore,05:50:00,16:15:00,2065,2.0,No Info,10991
Air India,2019-05-15,Kolkata,Banglore,09:10:00,04:40:00,1170,2.0,No Info,6117
Jet Airways,2019-06-01,Delhi,Cochin,19:15:00,04:25:00,550,1.0,No Info,14714
Jet Airways,2019-05-21,Delhi,Cochin,15:00:00,04:25:00,805,1.0,In-flight meal not included,12898
Jet Airways,2019-03-21,Delhi,Cochin,18:25:00,18:50:00,1465,2.0,No Info,12347
Jet Airways,2019-05-09,Delhi,Cochin,09:40:00,12:35:00,1615,2.0,No Info,15129
Vistara,2019-06-18,Banglore,Delhi,07:00:00,09:40:00,160,0.0,No Info,4668
Spicejet,2019-04-06,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No check-in baggage included,3841
Indigo,2019-06-01,Mumbai,Hyderabad,20:05:00,21:40:00,95,0.0,No Info,2227
Spicejet,2019-05-18,Kolkata,Banglore,15:55:00,21:25:00,330,1.0,No Info,8224
Jet Airways,2019-05-24,Kolkata,Banglore,18:55:00,08:15:00,800,1.0,In-flight meal not included,8586
Jet Airways,2019-03-24,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,No Info,5678
Jet Airways,2019-06-24,Delhi,Cochin,17:30:00,19:00:00,1530,1.0,In-flight meal not included,10262
Jet Airways,2019-06-06,Kolkata,Banglore,08:25:00,20:45:00,740,1.0,In-flight meal not included,10844
Jet Airways,2019-05-06,Banglore,Delhi,06:00:00,08:45:00,165,0.0,No Info,7229
Indigo,2019-05-27,Banglore,Delhi,23:30:00,02:20:00,170,0.0,No Info,3943
Jet Airways,2019-05-27,Delhi,Cochin,09:00:00,19:00:00,600,1.0,In-flight meal not included,10675
Jet Airways,2019-05-01,Kolkata,Banglore,21:10:00,10:05:00,775,1.0,No Info,14781
Jet Airways,2019-03-27,Delhi,Cochin,09:00:00,18:50:00,590,1.0,No Info,12032
Air India,2019-06-24,Delhi,Cochin,17:15:00,19:15:00,1560,2.0,No Info,11972
Indigo,2019-05-21,Chennai,Kolkata,07:55:00,10:15:00,140,0.0,No Info,3850
Jet Airways,2019-03-01,Banglore,New Delhi,14:05:00,21:20:00,435,1.0,No Info,36235
Indigo,2019-06-06,Delhi,Cochin,16:00:00,01:30:00,570,1.0,No Info,6316
Indigo,2019-06-27,Delhi,Cochin,05:35:00,08:50:00,195,0.0,No Info,5000
Jet Airways,2019-05-24,Kolkata,Banglore,14:05:00,09:20:00,1155,1.0,No Info,14178
Vistara,2019-05-01,Banglore,Delhi,21:00:00,23:50:00,170,0.0,No Info,4668
Jet Airways,2019-06-09,Mumbai,Hyderabad,02:55:00,04:20:00,85,0.0,In-flight meal not included,4050
Air India,2019-06-09,Kolkata,Banglore,20:30:00,20:25:00,1435,1.0,No Info,10203
Indigo,2019-06-18,Banglore,Delhi,05:30:00,08:20:00,170,0.0,No Info,3943
Spicejet,2019-03-09,Delhi,Cochin,06:10:00,11:20:00,310,1.0,No Info,8382
Air India,2019-03-21,Delhi,Cochin,09:45:00,09:25:00,1420,2.0,No Info,8140
Jet Airways,2019-06-09,Kolkata,Banglore,20:25:00,22:05:00,1540,1.0,In-flight meal not included,10539
Spicejet,2019-04-15,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No Info,3873
Vistara,2019-06-27,Banglore,Delhi,17:00:00,19:35:00,155,0.0,No Info,4878
Jet Airways,2019-06-12,Kolkata,Banglore,14:05:00,10:05:00,1200,1.0,No Info,13044
Jet Airways,2019-03-01,Banglore,New Delhi,11:40:00,07:40:00,1200,1.0,No Info,22270
Indigo,2019-06-03,Kolkata,Banglore,17:15:00,19:50:00,155,0.0,No Info,4804
Jet Airways,2019-03-21,Banglore,New Delhi,14:05:00,10:25:00,1220,1.0,In-flight meal not included,7832
Indigo,2019-05-24,Mumbai,Hyderabad,09:10:00,10:40:00,90,0.0,No Info,5755
Vistara,2019-06-03,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No Info,11982
Spicejet,2019-05-01,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No Info,4174
Jet Airways,2019-03-24,Kolkata,Banglore,19:45:00,04:45:00,540,1.0,No Info,13759
Air India,2019-05-06,Kolkata,Banglore,19:00:00,04:40:00,580,1.0,No Info,6117
Goair,2019-06-09,Banglore,Delhi,07:45:00,10:40:00,175,0.0,No Info,3898
Air India,2019-04-01,Kolkata,Banglore,07:00:00,10:00:00,1620,2.0,No Info,9836
Air Asia,2019-06-15,Delhi,Cochin,07:55:00,22:25:00,870,1.0,No Info,6253
Air India,2019-06-15,Delhi,Cochin,06:10:00,23:00:00,1010,1.0,No Info,8907
Spicejet,2019-05-24,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No check-in baggage included,3919
Air Asia,2019-03-24,Banglore,New Delhi,23:25:00,02:10:00,165,0.0,No Info,3383
Indigo,2019-05-09,Delhi,Cochin,07:30:00,21:00:00,810,1.0,No Info,7191
Air India,2019-06-12,Delhi,Cochin,12:00:00,19:15:00,435,2.0,No Info,8603
Multiple Carriers,2019-05-18,Delhi,Cochin,09:00:00,19:15:00,615,1.0,No Info,14533
Indigo,2019-03-09,Delhi,Cochin,07:35:00,16:10:00,515,1.0,No Info,6674
Air India,2019-03-01,Banglore,New Delhi,06:45:00,11:10:00,1705,2.0,No Info,20999
Jet Airways,2019-05-21,Delhi,Cochin,19:30:00,04:25:00,535,2.0,No Info,15129
Indigo,2019-04-15,Kolkata,Banglore,15:15:00,20:05:00,290,1.0,No Info,4775
Vistara,2019-05-09,Kolkata,Banglore,17:00:00,18:50:00,1550,1.0,No Info,8820
Spicejet,2019-04-01,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No check-in baggage included,3841
Jet Airways,2019-03-06,Delhi,Cochin,17:55:00,04:25:00,2070,2.0,In-flight meal not included,15812
Indigo,2019-05-06,Chennai,Kolkata,13:15:00,15:35:00,140,0.0,No Info,3597
Spicejet,2019-06-06,Kolkata,Banglore,08:35:00,17:15:00,520,1.0,No Info,6643
Jet Airways,2019-03-18,Banglore,New Delhi,11:40:00,07:40:00,1200,1.0,No Info,12284
Spicejet,2019-04-12,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No Info,3873
Air Asia,2019-05-15,Banglore,Delhi,04:55:00,07:45:00,170,0.0,No Info,4282
Jet Airways,2019-06-06,Delhi,Cochin,14:35:00,04:25:00,830,2.0,No Info,13376
Jet Airways,2019-06-15,Delhi,Cochin,11:45:00,04:25:00,1000,2.0,No Info,13882
Air India,2019-06-01,Mumbai,Hyderabad,21:05:00,22:25:00,80,0.0,No Info,3100
Jet Airways,2019-05-21,Banglore,Delhi,15:50:00,18:45:00,175,0.0,In-flight meal not included,3359
Indigo,2019-03-21,Banglore,New Delhi,10:10:00,13:00:00,170,0.0,No Info,4777
Air Asia,2019-06-18,Kolkata,Banglore,09:45:00,12:15:00,150,0.0,No Info,3807
Goair,2019-04-27,Banglore,Delhi,20:55:00,23:40:00,165,0.0,No Info,3898
Air India,2019-05-03,Kolkata,Banglore,20:45:00,23:20:00,155,0.0,No Info,4145
Jet Airways,2019-03-12,Banglore,New Delhi,22:55:00,18:25:00,1170,1.0,In-flight meal not included,11087
Indigo,2019-05-12,Mumbai,Hyderabad,19:05:00,20:35:00,90,0.0,No Info,2754
Jet Airways,2019-03-21,Delhi,Cochin,13:00:00,18:50:00,350,1.0,In-flight meal not included,6540
Jet Airways,2019-03-12,Banglore,New Delhi,21:25:00,07:40:00,615,1.0,No Info,11717
Indigo,2019-05-18,Kolkata,Banglore,22:15:00,00:50:00,155,0.0,No Info,4804
Jet Airways,2019-03-21,Banglore,New Delhi,18:40:00,07:40:00,780,1.0,In-flight meal not included,7832
Jet Airways,2019-05-27,Delhi,Cochin,20:55:00,12:35:00,940,1.0,In-flight meal not included,12898
Vistara,2019-04-27,Banglore,Delhi,11:30:00,14:20:00,170,0.0,No Info,5403
Spicejet,2019-06-03,Delhi,Cochin,17:55:00,22:50:00,295,1.0,No Info,5409
Air India,2019-05-24,Delhi,Cochin,09:45:00,09:25:00,1420,1.0,No Info,7480
Spicejet,2019-04-03,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No Info,3971
Jet Airways,2019-05-27,Delhi,Cochin,10:00:00,12:35:00,1595,1.0,In-flight meal not included,12898
Spicejet,2019-04-24,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No Info,3625
Jet Airways,2019-05-24,Kolkata,Banglore,21:10:00,04:40:00,450,1.0,In-flight meal not included,9663
Multiple Carriers,2019-03-06,Delhi,Cochin,07:10:00,22:20:00,910,1.0,In-flight meal not included,7563
Multiple Carriers,2019-03-21,Delhi,Cochin,09:00:00,15:30:00,390,1.0,No Info,8307
Indigo,2019-04-21,Banglore,Delhi,23:30:00,02:20:00,170,0.0,No Info,4591
Indigo,2019-03-01,Mumbai,Hyderabad,02:30:00,04:00:00,90,0.0,No Info,16000
Multiple Carriers,2019-06-27,Delhi,Cochin,16:00:00,01:30:00,570,1.0,No Info,13377
Jet Airways,2019-05-18,Kolkata,Banglore,20:00:00,09:20:00,800,1.0,No Info,14781
Jet Airways,2019-04-03,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,In-flight meal not included,3205
Air India,2019-06-15,Delhi,Cochin,05:15:00,19:15:00,2280,3.0,No Info,10703
Spicejet,2019-03-24,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No check-in baggage included,3807
Spicejet,2019-04-01,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No Info,3873
Spicejet,2019-06-09,Kolkata,Banglore,11:15:00,18:30:00,435,1.0,No Info,9946
Jet Airways,2019-04-01,Kolkata,Banglore,18:55:00,19:50:00,1495,1.0,In-flight meal not included,7064
Air India,2019-05-24,Kolkata,Banglore,20:30:00,20:25:00,1435,1.0,No Info,10413
Multiple Carriers,2019-06-03,Delhi,Cochin,07:30:00,19:15:00,705,1.0,No Info,7354
Jet Airways,2019-05-09,Kolkata,Banglore,20:25:00,21:05:00,1480,1.0,No Info,13067
Jet Airways,2019-06-27,Delhi,Cochin,14:35:00,12:35:00,1320,2.0,In-flight meal not included,10919
Multiple Carriers,2019-06-03,Delhi,Cochin,08:30:00,19:00:00,630,1.0,No Info,11200
Air India,2019-03-15,Banglore,New Delhi,11:50:00,08:55:00,1265,1.0,No Info,5932
Indigo,2019-05-09,Delhi,Cochin,14:25:00,17:40:00,195,0.0,No Info,6015
Jet Airways,2019-05-01,Kolkata,Banglore,16:30:00,04:40:00,730,1.0,In-flight meal not included,8586
Multiple Carriers,2019-03-21,Delhi,Cochin,07:30:00,21:00:00,810,1.0,No Info,9845
Air India,2019-06-27,Delhi,Cochin,16:40:00,19:15:00,1595,2.0,No Info,9653
Jet Airways,2019-06-15,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,No Info,5678
Jet Airways,2019-06-24,Delhi,Cochin,20:00:00,04:25:00,505,2.0,In-flight meal not included,12410
Indigo,2019-06-01,Banglore,Delhi,23:30:00,02:20:00,170,0.0,No Info,4591
Vistara,2019-05-18,Banglore,Delhi,19:30:00,22:15:00,165,0.0,No Info,4878
Vistara,2019-06-01,Banglore,Delhi,17:00:00,19:35:00,155,0.0,No Info,4878
Jet Airways,2019-05-21,Kolkata,Banglore,21:10:00,22:35:00,1525,1.0,In-flight meal not included,10844
Multiple Carriers,2019-05-18,Delhi,Cochin,11:25:00,19:15:00,470,1.0,No Info,7997
Jet Airways,2019-03-09,Delhi,Cochin,10:45:00,04:25:00,1060,2.0,No Info,17282
Jet Airways,2019-06-24,Delhi,Cochin,14:00:00,04:25:00,865,1.0,In-flight meal not included,10262
